,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
KPIs - BY ACCOUNT,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25,Jun-25,Jul-25,Aug-25,Sep-25,Oct-25,Nov-25,Dec-25,
Gap ($) , - , - , - , - , - , - , (22), - , - , - , - , - , - ,
Red Sites ($) , (4), (1), (2), (4), - , (2), (22), (6), (9), - , - , - , - ,
Red Sites (#) , 1 , 1 , 1 , 1 , - , 1 , 4 , 1 , 3 , - , - , - , - ,
Headcount, 151 , 152 , 146 , 158 , 153 , 158 , 174 , 168 , 169 , 181 , 189 , 187 , 185 ,
Separations , 3 , 1 , 3 , 1 , 5 , 2 , 2 , 4 , 3 , 2 , 2 , 3 , 1 ,
Turnover (%) ,2.0%,0.7%,2.1%,0.6%,3.3%,1.3%,1.1%,2.4%,1.8%,1.1%,1.1%,1.6%,0.5%,
CSAT , 4.25 , 3.85 , 4.00 , 3.85 , 4.06 , 5.00 , 4.50 , 4.63 , 4.50 , 4.38 , 4.47 , 4.23 , 4.41 ,
YTD Claims , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 ,
YTD Recordables , - , - , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , 0.96 , 0.84 , 0.74 , 0.68 , 0.61 ,
Molson Coors - TBH,,,,,,,,,,,,,,
Revenue ($) , 154 , 148 , 153 , 153 , 152 , 155 , 159 , 155 , 151 , 153 , 161 , 148 , 156 ,
Growth (%) ,0.0%,-4.0%,-0.7%,-0.9%,-1.4%,0.2%,3.1%,0.6%,-2.4%,-0.9%,4.4%,-3.8%,1.2%,
Gap ($) , (3), (4), (11), (10), - , (6), (9), (1), (3), (1), (11), (12), (16),
Red Sites ($) , (3), (4), (11), (10), - , (6), (9), (1), (3), (1), (11), (12), (16),
Red Sites (#) , 1 , 1 , 1 , 1 , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
Headcount, 28 , 30 , 29 , 29 , 28 , 29 , 29 , 30 , 30 , 30 , 31 , 30 , 30 ,
Separations , 2 , 2 , 1 , 1 , 2 , 2 , - , - , 2 , 3 , 1 , 2 , 1 ,
Turnover (%) ,7.1%,6.7%,3.4%,3.4%,7.1%,6.9%,0.0%,0.0%,6.7%,10.0%,3.2%,6.7%,3.3%,
CSAT , 4.25 , 4.88 , 4.75 , 4.38 , 4.15 , 4.13 , 4.38 , 4.13 , 4.17 , 3.78 , 4.27 ,,,
YTD Claims , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
YTD Recordables , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , -   , -   , -   , -   , 11.08 , 8.84 , 7.35 , 6.29 , 5.54 , 4.97 , 4.48 , 4.14 , 3.78 ,
Newell Brands - TBH,,,,,,,,,,,,,,
Revenue ($) , 37 , 40 , 43 , 40 , 40 , 40 , 38 , 39 , 48 , 42 , 38 , 48 , 32 ,
Growth (%) ,0.0%,6.2%,14.5%,6.2%,6.8%,7.6%,2.1%,4.4%,27.0%,11.4%,1.7%,28.7%,-15.3%,
Gap ($) , - , - , - , (0), - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , (1), (1), (1), (1), (1), (0), - , - , - , - , - , - ,
Red Sites (#) , - , 1 , 1 , 1 , 2 , 1 , 1 , - , - , - , - , - , - ,
Headcount, 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 5 , 6 , 5 , 6 , 6 ,
Separations , - , 1 , - , 1 , - , 1 , - , - , - , - , 1 , - , - ,
Turnover (%) ,0.0%,20.0%,0.0%,20.0%,0.0%,20.0%,0.0%,0.0%,0.0%,0.0%,20.0%,0.0%,0.0%,
CSAT , 4.00 , 5.00 , 4.50 , 5.00 , 4.00 , 5.00 , 5.00 , 5.00 , 4.00 , 5.00 , 4.00 , 5.00 , 4.00 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Otis Elevator Company - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
S.C. Johnson - TBH,,,,,,,,,,,,,,
Revenue ($) , 92 , 87 , 91 , 88 , 87 , 86 , 91 , 87 , 88 , 94 , 87 , 83 , 87 ,
Growth (%) ,0.0%,-5.7%,-0.6%,-3.7%,-4.9%,-6.2%,-1.3%,-5.7%,-4.7%,1.9%,-4.8%,-9.3%,-5.4%,
Gap ($) , - , - , - , - , - , - , - , - , - , (1), - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , (1), - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , 1 , - , - , - ,
Headcount, 15 , 15 , 15 , 14 , 14 , 14 , 15 , 15 , 15 , 15 , 13 , 12 , 12 ,
Separations , - , - , - , 1 , 1 , - , - , 2 , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,7.1%,7.1%,0.0%,0.0%,13.3%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 4.25 , 3.88 , 4.50 , 5.00 , 4.25 , 5.00 , 4.00 , 3.63 , 4.13 , 4.50 , 5.00 , 4.00 , 5.00 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Schneider Electric - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , (1), (0), (0), (0), - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (1), (0), (0), (0), - , - , - , - , - , - , - , - , - ,
Red Sites (#) , 1 , 1 , 1 , 1 , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Solidigm - TBH,,,,,,,,,,,,,,
Revenue ($) , (4), - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
Gap ($) , (3), - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (3), - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Stanley Black & Decker - TBH,,,,,,,,,,,,,,
Revenue ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount,, - , - , - , - , - , - , - , - , - , - , - , - ,
Separations ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims ,, - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables ,, - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Taiwan Semiconductor - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , (0), - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , (0), - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , 1 , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Trane - TBH,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
UCAR - TBH,,,,,,,,,,,,,,
Revenue ($) , 74 , 74 , 74 , 74 , 74 , 74 , 74 , 74 , 74 , 74 , 76 , 76 , 76 ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,3.0%,3.0%,3.0%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount, 15 , 13 , 14 , 13 , 12 , 12 , 11 , 12 , 13 , 13 , 13 , 15 , 15 ,
Separations , 1 , 2 , - , 1 , 2 , 1 , 1 , - , 1 , - , - , 1 , 1 ,
Turnover (%) ,6.7%,15.4%,0.0%,7.7%,16.7%,8.3%,9.1%,0.0%,7.7%,0.0%,0.0%,6.7%,6.7%,
CSAT , 4.50 , 4.00 , 4.25 , 4.50 , 4.75 , 4.50 , 4.50 , 4.25 , 4.00 , 4.50 , 4.50 , 4.75 , 4.50 ,
YTD Claims , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 ,
YTD Recordables , 1 , - , - , - , - , - , - , - , - , - , 1 , 1 , 1 ,
TRIR , 9.25 , -   , -   , -   , -   , -   , -   , -   , -   , -   , 10.29 , 9.47 , 8.59 ,
Wabash National Corporation - TBH,,,,,,,,,,,,,,
Revenue ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Headcount,, - , - , - , - , - , - , - , - , - , - , - , - ,
Separations ,, - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims ,, - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables ,, - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Wieland Group - TBH,,,,,,,,,,,,,,
Revenue ($) , 53 , 55 , 55 , 55 , 55 , 55 , 55 , 55 , 55 , 55 , 55 , 55 , 55 ,
Growth (%) ,0.0%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,3.3%,
Gap ($) , - , (3), (3), (7), (3), (0), - , - , (0), - , - , (1), (2),
Red Sites ($) , (1), (3), (3), (7), (3), (0), - , - , (0), - , - , (1), (2),
Red Sites (#) , 1 , 1 , 1 , 2 , 1 , 1 , - , - , 1 , - , - , 1 , 1 ,
Headcount, 10 , 11 , 11 , 12 , 12 , 11 , 10 , 10 , 11 , 11 , 9 , 10 , 11 ,
Separations , 1 , - , - , - , - , 1 , 1 , 1 , - , - , 1 , - , - ,
Turnover (%) ,10.0%,0.0%,0.0%,0.0%,0.0%,9.1%,10.0%,10.0%,0.0%,0.0%,11.1%,0.0%,0.0%,
CSAT , 4.25 , 4.38 ,, 4.75 , 4.38 , 5.00 , 4.50 , 4.08 , 4.50 , 4.50 , 4.88 , 5.00 , 4.50 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Boeing Company - Justin Dallavis,,,,,,,,,,,,,,
Revenue ($) , 847 , 838 , 828 , 884 , 920 , 971 , 974 , 965 ," 1,011 ", 990 , 989 , 983 ," 1,002 ",
Growth (%) ,0.0%,-1.1%,-2.2%,4.4%,8.7%,14.6%,15.1%,14.0%,19.4%,16.9%,16.8%,16.1%,18.3%,
Gap ($) , - , - , - , - , - , - , - , - , - , (1), - , - , - ,
Red Sites ($) , (29), (11), (12), (28), (26), (11), (15), (9), (22), (47), (20), (19), (33),
Red Sites (#) , 6 , 6 , 7 , 8 , 9 , 6 , 8 , 7 , 11 , 7 , 4 , 6 , 7 ,
Headcount, 140 , 138 , 132 , 142 , 143 , 149 , 152 , 152 , 154 , 154 , 158 , 157 , 152 ,
Separations , 2 , 6 , 2 , 6 , 6 , 2 , - , 3 , 1 , 3 , 7 , 4 , 4 ,
Turnover (%) ,1.4%,4.3%,1.5%,4.2%,4.2%,1.3%,0.0%,2.0%,0.6%,1.9%,4.4%,2.5%,2.6%,
CSAT , 4.48 , 4.50 , 4.30 , 3.72 , 4.41 , 4.54 , 4.35 , 4.35 , 4.44 , 4.38 , 4.50 , 4.64 , 4.62 ,
YTD Claims , 5 , - , - , - , - , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
YTD Recordables , 4 , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , 3.48 , -   , -   , -   , -   , -   , 1.54 , 1.30 , 1.11 , 0.98 , 0.87 , 0.79 , 0.72 ,
General Electric - Logan Newman,,,,,,,,,,,,,,
Revenue ($) , 410 , 460 , 456 , 462 , 455 , 462 , 452 , 470 , 484 , 634 , 666 , 681 , 708 ,
Growth (%) ,0.0%,12.1%,11.3%,12.7%,11.0%,12.8%,10.3%,14.8%,18.2%,54.8%,62.5%,66.2%,72.9%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (3), (2), (6), (1), (1), (2), (1), (2), (7), (7), (5), (4), (8),
Red Sites (#) , 4 , 3 , 5 , 3 , 3 , 5 , 4 , 3 , 6 , 2 , 5 , 4 , 8 ,
Headcount, 83 , 82 , 82 , 87 , 81 , 83 , 81 , 78 , 85 , 116 , 120 , 125 , 127 ,
Separations , - , - , 2 , 2 , 6 , 1 , 3 , 5 , 4 , 3 , 2 , 2 , 1 ,
Turnover (%) ,0.0%,0.0%,2.4%,2.3%,7.4%,1.2%,3.7%,6.4%,4.7%,2.6%,1.7%,1.6%,0.8%,
CSAT , 4.58 , 4.90 , 4.50 , 4.50 , 4.75 , 4.69 , 4.60 , 4.67 , 4.54 , 4.54 , 4.47 , 4.61 , 4.47 ,
YTD Claims , 1 , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Nestle - Kimberly Wittekind,,,,,,,,,,,,,,
Revenue ($) , 567 , 576 , 565 , 565 , 578 , 600 , 639 , 650 , 662 , 649 , 649 , 647 , 646 ,
Growth (%) ,0.0%,1.6%,-0.4%,-0.4%,2.0%,5.8%,12.8%,14.6%,16.7%,14.5%,14.5%,14.1%,13.9%,
Gap ($) , - , - , - , (8), - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (7), (9), (9), (17), (7), (10), (15), (6), (7), (4), (12), (11), (5),
Red Sites (#) , 3 , 3 , 1 , 3 , 2 , 4 , 2 , 1 , 1 , 2 , 2 , 3 , 1 ,
Headcount, 114 , 117 , 116 , 115 , 114 , 124 , 126 , 122 , 126 , 123 , 121 , 123 , 127 ,
Separations , 2 , 4 , 4 , 5 , 3 , 4 , 7 , 9 , 5 , 5 , 7 , 1 , 1 ,
Turnover (%) ,1.8%,3.4%,3.4%,4.3%,2.6%,3.2%,5.6%,7.4%,4.0%,4.1%,5.8%,0.8%,0.8%,
CSAT , 4.25 , 4.06 , 4.20 , 4.31 , 4.31 , 4.55 , 4.08 , 4.03 , 4.00 , 3.83 , 4.00 , 4.56 , 4.13 ,
YTD Claims , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
YTD Recordables , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , -   , 11.46 , 6.01 , 3.95 , 2.96 , 2.35 , 1.95 , 1.65 , 1.43 , 1.26 , 1.12 , 1.02 , 0.94 ,
Texas Instruments - Mark Schlerf,,,,,,,,,,,,,,
Revenue ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
Gap ($) , (0), (0), (0), (0), (0), (0), (0), (0), (0), - , - , - , - ,
Red Sites ($) , (0), (0), (0), (0), (0), (0), (0), (0), (0), - , - , - , - ,
Red Sites (#) , 2 , 2 , 1 , 1 , 2 , 1 , 1 , 1 , 1 , - , - , - , - ,
Headcount, - , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Bombardier Learjet - Jennifer Segovia,,,,,,,,,,,,,,
Revenue ($) , 84 , - , - , - , - , - , - , - , - , - , - , - , - ,
Growth (%) ,0.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,-100.0%,
Gap ($) , - , (12), (0), - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , - , (12), (0), - , - , - , - , - , - , - , - , - , - ,
Red Sites (#) , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - ,
Headcount, 1 , - , - , - , - , - , - , - , - , - , - , - , - ,
Separations , - , 1 , - , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT ,,,,,,,,,,,,,,
YTD Claims , 2 , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , 2 , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , 15.07 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Northrop Grumman - Jennifer Segovia,,,,,,,,,,,,,,
Revenue ($) , 77 , 78 , 74 , 91 , 207 , 204 , 214 , 205 , 207 , 226 , 208 , 215 , 212 ,
Growth (%) ,0.0%,1.6%,-3.1%,18.3%,170.5%,166.1%,179.4%,167.0%,169.4%,194.8%,171.8%,180.3%,176.1%,
Gap ($) , - , - , (2), - , (3), - , - , - , - , - , - , - , - ,
Red Sites ($) , - , - , (2), (3), (4), (8), (4), (3), (3), (2), (3), (7), (2),
Red Sites (#) , - , - , 1 , 3 , 4 , 3 , 4 , 4 , 3 , 4 , 3 , 4 , 2 ,
Headcount, 13 , 13 , 13 , 32 , 35 , 34 , 34 , 34 , 34 , 35 , 35 , 34 , 34 ,
Separations , - , - , - , 1 , 1 , 1 , 1 , - , 1 , - , 1 , 2 , - ,
Turnover (%) ,0.0%,0.0%,0.0%,3.1%,2.9%,2.9%,2.9%,0.0%,2.9%,0.0%,2.9%,5.9%,0.0%,
CSAT , 4.50 , 5.00 , 4.92 , 4.04 , 4.20 , 4.55 , 4.25 , 4.78 , 4.57 , 4.71 , 4.57 , 4.75 , 4.66 ,
YTD Claims , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
YTD Recordables , - , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
TRIR , -   , -   , -   , -   , -   , -   , 8.26 , 6.65 , 5.66 , 4.87 , 4.26 , 3.86 , 3.50 ,
Conduent - Mark Schlerf,,,,,,,,,,,,,,
Revenue ($) , 88 , 89 , 88 , 76 , 74 , 77 , 72 , 67 , 68 , 67 , 67 , 67 , 72 ,
Growth (%) ,0.0%,1.1%,0.2%,-13.9%,-15.6%,-12.3%,-18.4%,-23.6%,-22.9%,-24.1%,-24.3%,-24.3%,-18.4%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (0), (0), (1), (1), (1), (0), (2), (2), (1), (1), (1), (1), (2),
Red Sites (#) , 2 , 2 , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 , 2 ,
Headcount, 11 , 10 , 11 , 12 , 12 , 12 , 13 , 11 , 10 , 11 , 11 , 11 , 11 ,
Separations , 2 , - , - , - , - , 2 , 1 , 1 , - , - , - , 1 , - ,
Turnover (%) ,18.2%,0.0%,0.0%,0.0%,0.0%,16.7%,7.7%,9.1%,0.0%,0.0%,0.0%,9.1%,0.0%,
CSAT , 4.50 , 4.63 , 4.72 , 4.56 , 4.69 , 4.83 , 4.92 , 4.63 , 4.69 , 4.88 , 4.63 , 4.50 , 4.63 ,
YTD Claims , - , - , - , - , - , - , - , - , - , - , - , - , - ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
Siltronic Corp - Mark Schlerf,,,,,,,,,,,,,,
Revenue ($) , 67 , 62 , 61 , 62 , 63 , 61 , 62 , 66 , 64 , 63 , 64 , 64 , 65 ,
Growth (%) ,0.0%,-7.5%,-8.7%,-7.7%,-4.9%,-8.6%,-7.1%,-1.6%,-4.1%,-6.2%,-4.3%,-3.9%,-3.2%,
Gap ($) , - , (3), - , - , (2), (1), (0), (1), - , - , - , (0), - ,
Red Sites ($) , - , (3), - , - , (2), (1), (0), (1), - , - , - , (0), - ,
Red Sites (#) , - , 1 , - , - , 1 , 1 , 1 , 1 , - , - , - , 1 , - ,
Headcount, 8 , 8 , 8 , 8 , 9 , 9 , 9 , 9 , 9 , 8 , 9 , 9 , 8 ,
Separations , - , 1 , 1 , - , - , - , - , - , - , - , - , - , - ,
Turnover (%) ,0.0%,12.5%,12.5%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,
CSAT , 5.00 , 4.75 , 4.63 , 5.00 , 5.00 , 5.00 , 4.75 , 4.63 , 4.75 , 5.00 , 5.00 , 5.00 , 4.75 ,
YTD Claims , - , - , - , - , - , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,
YTD Recordables , - , - , - , - , - , - , - , - , - , - , - , - , - ,
TRIR , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   ,
GE Healthcare - Kimberly Wittekind,,,,,,,,,,,,,,
Revenue ($) , 335 , 330 , 330 , 330 , 330 , 343 , 343 , 343 , 356 , 356 , 359 , 359 , 359 ,
Growth (%) ,0.0%,-1.6%,-1.6%,-1.6%,-1.6%,2.4%,2.4%,2.4%,6.3%,6.3%,7.1%,7.1%,7.1%,
Gap ($) , - , - , - , - , - , - , - , - , - , - , - , - , - ,
Red Sites ($) , (0), (0), (1), (4), (1), (2), (3), (1), (2), - , (0), (5), (2),
Red Sites (#) , 1 , 1 , 2 , 2 , 2 , 2 , 2 , 1 , 3 , - , 1 , 3 , 2 ,
Headcount, 63 , 59 , 61 , 63 , 58 , 60 , 64 , 69 , 67 , 64 , 69 , 70 , 69 ,
Separations , 4 , 6 , 2 , 2 , 4 , 1 , 1 , 1 , 3 , 7 , 3 , 5 , 4 ,
Turnover (%) ,6.3%,10.2%,3.3%,3.2%,6.9%,1.7%,1.6%,1.4%,4.5%,10.9%,4.3%,7.1%,5.8%,
CSAT , 4.44 , 5.00 , 4.44 , 4.50 ,,, 4.92 ,,, 4.67 , 4.92 , 4.83 ,,
